,fit_time,score_time,test_single_trial_accuracy,test_accuracy_reps_1,test_accuracy_reps_2,test_accuracy_reps_3,test_accuracy_reps_4,test_accuracy_reps_5,test_accuracy_reps_6,test_accuracy_reps_7,test_accuracy_reps_8,test_accuracy_reps_9,test_accuracy_reps_10,test_roc_auc,subject,session,task,acquisition,run,processing,space,recording,split,description,condition,pipeline
83,1.309070110321045,0.06151533126831055,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8117816091954023,PB01,01,cvsa,,,ica,,,,,covert,WCBLE
96,1.6375606060028076,0.05324578285217285,0.6,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8368298368298369,PB01,01,cvsa,,,ica,,,,,free,WCBLE
97,1.1041326522827148,0.0681297779083252,0.7,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8931216931216932,PB01,01,cvsa,,,ica,,,,,free,WCBLE
98,0.9114983081817627,0.05762076377868652,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8687830687830688,PB01,01,cvsa,,,ica,,,,,free,WCBLE
99,1.1230804920196533,0.058077335357666016,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9393939393939394,PB01,01,cvsa,,,ica,,,,,free,WCBLE
100,1.338663101196289,0.04719996452331543,0.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9196969696969697,PB01,01,cvsa,,,ica,,,,,free,WCBLE
101,1.138082504272461,0.05531501770019531,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9147540983606557,PB01,01,cvsa,,,ica,,,,,free,WCBLE
114,1.2768676280975342,0.06778669357299805,0.6,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8314732142857142,PB02,01,cvsa,,,ica,,,,,overt,WCBLE
115,1.7215087413787842,0.055887460708618164,0.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8779411764705882,PB02,01,cvsa,,,ica,,,,,overt,WCBLE
116,0.7846181392669678,0.11202478408813477,0.7,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9157509157509157,PB02,01,cvsa,,,ica,,,,,overt,WCBLE
117,1.3333659172058105,0.07836055755615234,0.4,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8247162673392182,PB02,01,cvsa,,,ica,,,,,overt,WCBLE
118,1.5789515972137451,0.05419778823852539,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9474358974358974,PB02,01,cvsa,,,ica,,,,,overt,WCBLE
119,1.0806612968444824,0.07303452491760254,0.8,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9118644067796611,PB02,01,cvsa,,,ica,,,,,overt,WCBLE
132,1.4847400188446045,0.13001370429992676,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7131696428571428,PB02,01,cvsa,,,ica,,,,,covert,WCBLE
133,2.227015972137451,0.04810500144958496,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6908665105386417,PB02,01,cvsa,,,ica,,,,,covert,WCBLE
134,1.797482967376709,0.09221386909484863,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4880201765447667,PB02,01,cvsa,,,ica,,,,,covert,WCBLE
135,1.227623462677002,0.0705411434173584,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5900537634408602,PB02,01,cvsa,,,ica,,,,,covert,WCBLE
