,fit_time,score_time,test_single_trial_accuracy,test_accuracy_reps_1,test_accuracy_reps_2,test_accuracy_reps_3,test_accuracy_reps_4,test_accuracy_reps_5,test_accuracy_reps_6,test_accuracy_reps_7,test_accuracy_reps_8,test_accuracy_reps_9,test_accuracy_reps_10,test_roc_auc,subject,session,task,acquisition,run,processing,space,recording,split,description,condition,pipeline
77,0.1818854808807373,0.04355287551879883,0.6,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.8017241379310345,PB01,01,cvsa,,,ica,,,,,covert,tLDA
90,0.20376896858215332,0.04974222183227539,0.8,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8508158508158508,PB01,01,cvsa,,,ica,,,,,free,tLDA
91,0.20133519172668457,0.05064582824707031,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375661375661375,PB01,01,cvsa,,,ica,,,,,free,tLDA
92,0.20310139656066895,0.04849958419799805,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8962962962962963,PB01,01,cvsa,,,ica,,,,,free,tLDA
93,0.21134638786315918,0.04916977882385254,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9668109668109669,PB01,01,cvsa,,,ica,,,,,free,tLDA
94,0.2232365608215332,0.047006845474243164,0.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9409090909090909,PB01,01,cvsa,,,ica,,,,,free,tLDA
95,0.23255300521850586,0.05277657508850098,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9442622950819672,PB01,01,cvsa,,,ica,,,,,free,tLDA
108,0.2022538185119629,0.06082916259765625,0.6,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8147321428571429,PB02,01,cvsa,,,ica,,,,,overt,tLDA
109,0.20398640632629395,0.06020808219909668,0.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9205882352941177,PB02,01,cvsa,,,ica,,,,,overt,tLDA
110,0.21555042266845703,0.061043500900268555,0.7,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8937728937728938,PB02,01,cvsa,,,ica,,,,,overt,tLDA
111,0.23574113845825195,0.05559349060058594,0.4,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7994955863808323,PB02,01,cvsa,,,ica,,,,,overt,tLDA
112,0.23995542526245117,0.057637691497802734,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9641025641025641,PB02,01,cvsa,,,ica,,,,,overt,tLDA
113,0.21532869338989258,0.057158470153808594,0.7,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9033898305084747,PB02,01,cvsa,,,ica,,,,,overt,tLDA
126,0.1963510513305664,0.06782746315002441,0.3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6238839285714285,PB02,01,cvsa,,,ica,,,,,covert,tLDA
127,0.1974325180053711,0.06762170791625977,0.4,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.607728337236534,PB02,01,cvsa,,,ica,,,,,covert,tLDA
128,0.19884753227233887,0.06623959541320801,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46279949558638084,PB02,01,cvsa,,,ica,,,,,covert,tLDA
129,0.20971107482910156,0.06115365028381348,0.2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.521505376344086,PB02,01,cvsa,,,ica,,,,,covert,tLDA
130,0.2186901569366455,0.06091809272766113,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5254237288135593,PB02,01,cvsa,,,ica,,,,,covert,tLDA
131,0.20995807647705078,0.05501961708068848,0.6,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.768875192604006,PB02,01,cvsa,,,ica,,,,,covert,tLDA
144,0.24244904518127441,0.0663292407989502,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8507462686567164,PB02,01,cvsa,,,ica,,,,,free,tLDA
