,fit_time,score_time,test_single_trial_accuracy,test_accuracy_reps_1,test_accuracy_reps_2,test_accuracy_reps_3,test_accuracy_reps_4,test_accuracy_reps_5,test_accuracy_reps_6,test_accuracy_reps_7,test_accuracy_reps_8,test_accuracy_reps_9,test_accuracy_reps_10,test_roc_auc,subject,session,task,acquisition,run,processing,space,recording,split,description,condition,pipeline
87,0.37643861770629883,0.10349059104919434,0.1,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6,PB01,01,cvsa,,,ica,,,,,covert,XDAWNCov+TS+LDA
88,0.376065731048584,0.10862302780151367,0.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.7198211624441133,PB01,01,cvsa,,,ica,,,,,covert,XDAWNCov+TS+LDA
89,0.4015235900878906,0.1111745834350586,0.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8548850574712643,PB01,01,cvsa,,,ica,,,,,covert,XDAWNCov+TS+LDA
102,0.3916440010070801,0.13442683219909668,0.3,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7773892773892773,PB01,01,cvsa,,,ica,,,,,free,XDAWNCov+TS+LDA
103,0.38498568534851074,0.11720466613769531,0.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.891005291005291,PB01,01,cvsa,,,ica,,,,,free,XDAWNCov+TS+LDA
104,0.37334537506103516,0.10833477973937988,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8560846560846561,PB01,01,cvsa,,,ica,,,,,free,XDAWNCov+TS+LDA
105,0.4657101631164551,0.09759640693664551,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.86002886002886,PB01,01,cvsa,,,ica,,,,,free,XDAWNCov+TS+LDA
106,0.4319777488708496,0.11224627494812012,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8621212121212122,PB01,01,cvsa,,,ica,,,,,free,XDAWNCov+TS+LDA
107,0.39960551261901855,0.09709811210632324,0.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8081967213114755,PB01,01,cvsa,,,ica,,,,,free,XDAWNCov+TS+LDA
120,0.4717996120452881,0.12211418151855469,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6473214285714286,PB02,01,cvsa,,,ica,,,,,overt,XDAWNCov+TS+LDA
121,0.45934581756591797,0.1117100715637207,0.3,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7485294117647059,PB02,01,cvsa,,,ica,,,,,overt,XDAWNCov+TS+LDA
122,0.4272041320800781,0.11510181427001953,0.4,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7753357753357754,PB02,01,cvsa,,,ica,,,,,overt,XDAWNCov+TS+LDA
123,0.4679718017578125,0.12557315826416016,0.5,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7931904161412358,PB02,01,cvsa,,,ica,,,,,overt,XDAWNCov+TS+LDA
124,0.4818730354309082,0.11144137382507324,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8320512820512821,PB02,01,cvsa,,,ica,,,,,overt,XDAWNCov+TS+LDA
125,0.4983830451965332,0.10991263389587402,0.6,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7796610169491526,PB02,01,cvsa,,,ica,,,,,overt,XDAWNCov+TS+LDA
138,0.6648309230804443,0.08518624305725098,0.5,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.6796875,PB02,01,cvsa,,,ica,,,,,covert,XDAWNCov+TS+LDA
139,0.46875619888305664,0.14876222610473633,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7295081967213115,PB02,01,cvsa,,,ica,,,,,covert,XDAWNCov+TS+LDA
140,0.4438447952270508,0.14174890518188477,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5031525851197982,PB02,01,cvsa,,,ica,,,,,covert,XDAWNCov+TS+LDA
141,0.4449176788330078,0.16823697090148926,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4852150537634409,PB02,01,cvsa,,,ica,,,,,covert,XDAWNCov+TS+LDA
142,0.4684329032897949,0.1383650302886963,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5685670261941449,PB02,01,cvsa,,,ica,,,,,covert,XDAWNCov+TS+LDA
143,0.6569538116455078,0.07691693305969238,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.514637904468413,PB02,01,cvsa,,,ica,,,,,covert,XDAWNCov+TS+LDA
156,0.7467772960662842,0.10262250900268555,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7920398009950249,PB02,01,cvsa,,,ica,,,,,free,XDAWNCov+TS+LDA
157,0.5295283794403076,0.11927318572998047,0.3,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.4687179487179487,PB02,01,cvsa,,,ica,,,,,free,XDAWNCov+TS+LDA
158,0.5533978939056396,0.11272931098937988,0.4,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7154377880184333,PB02,01,cvsa,,,ica,,,,,free,XDAWNCov+TS+LDA
