,subject,session,task,acquisition,run,processing,space,recording,split,description,test_single_trial_accuracy,cond_train,cond_test,pipeline
75,PB01,01,cvsa,,,ica,,,,,0.7,overt,free,tLDA
76,PB01,01,cvsa,,,ica,,,,,1.0,overt,overt,tLDA
77,PB01,01,cvsa,,,ica,,,,,0.6,overt,covert,tLDA
78,PB01,01,cvsa,,,ica,,,,,0.6,covert,free,tLDA
79,PB01,01,cvsa,,,ica,,,,,0.7,covert,overt,tLDA
80,PB01,01,cvsa,,,ica,,,,,0.6,covert,covert,tLDA
81,PB01,01,cvsa,,,ica,,,,,0.7,free,free,tLDA
82,PB01,01,cvsa,,,ica,,,,,0.7,free,overt,tLDA
83,PB01,01,cvsa,,,ica,,,,,0.3,free,covert,tLDA
84,PB01,01,cvsa,,,ica,,,,,0.7,overt,free,tLDA
85,PB01,01,cvsa,,,ica,,,,,0.7,overt,overt,tLDA
86,PB01,01,cvsa,,,ica,,,,,0.4,overt,covert,tLDA
87,PB01,01,cvsa,,,ica,,,,,0.4,covert,free,tLDA
88,PB01,01,cvsa,,,ica,,,,,0.7,covert,overt,tLDA
89,PB01,01,cvsa,,,ica,,,,,0.1,covert,covert,tLDA
90,PB01,01,cvsa,,,ica,,,,,0.9,free,free,tLDA
91,PB01,01,cvsa,,,ica,,,,,0.9,free,overt,tLDA
92,PB01,01,cvsa,,,ica,,,,,0.4,free,covert,tLDA
93,PB01,01,cvsa,,,ica,,,,,0.9,overt,free,tLDA
94,PB01,01,cvsa,,,ica,,,,,0.9,overt,overt,tLDA
95,PB01,01,cvsa,,,ica,,,,,0.5,overt,covert,tLDA
96,PB01,01,cvsa,,,ica,,,,,0.6,covert,free,tLDA
97,PB01,01,cvsa,,,ica,,,,,0.4,covert,overt,tLDA
98,PB01,01,cvsa,,,ica,,,,,0.2,covert,covert,tLDA
99,PB01,01,cvsa,,,ica,,,,,0.8,free,free,tLDA
100,PB01,01,cvsa,,,ica,,,,,1.0,free,overt,tLDA
101,PB01,01,cvsa,,,ica,,,,,0.7,free,covert,tLDA
102,PB01,01,cvsa,,,ica,,,,,0.8,overt,free,tLDA
103,PB01,01,cvsa,,,ica,,,,,1.0,overt,overt,tLDA
104,PB01,01,cvsa,,,ica,,,,,0.3,overt,covert,tLDA
105,PB01,01,cvsa,,,ica,,,,,0.4,covert,free,tLDA
106,PB01,01,cvsa,,,ica,,,,,0.9,covert,overt,tLDA
107,PB01,01,cvsa,,,ica,,,,,0.3,covert,covert,tLDA
108,PB02,01,cvsa,,,ica,,,,,0.5,free,free,tLDA
109,PB02,01,cvsa,,,ica,,,,,0.5,free,overt,tLDA
110,PB02,01,cvsa,,,ica,,,,,0.2,free,covert,tLDA
111,PB02,01,cvsa,,,ica,,,,,0.4,overt,free,tLDA
112,PB02,01,cvsa,,,ica,,,,,0.7,overt,overt,tLDA
113,PB02,01,cvsa,,,ica,,,,,0.3,overt,covert,tLDA
114,PB02,01,cvsa,,,ica,,,,,0.5,covert,free,tLDA
115,PB02,01,cvsa,,,ica,,,,,0.5,covert,overt,tLDA
116,PB02,01,cvsa,,,ica,,,,,0.6,covert,covert,tLDA
117,PB02,01,cvsa,,,ica,,,,,0.6,free,free,tLDA
118,PB02,01,cvsa,,,ica,,,,,0.9,free,overt,tLDA
119,PB02,01,cvsa,,,ica,,,,,0.2,free,covert,tLDA
120,PB02,01,cvsa,,,ica,,,,,0.4,overt,free,tLDA
121,PB02,01,cvsa,,,ica,,,,,0.9,overt,overt,tLDA
122,PB02,01,cvsa,,,ica,,,,,0.4,overt,covert,tLDA
123,PB02,01,cvsa,,,ica,,,,,0.1,covert,free,tLDA
124,PB02,01,cvsa,,,ica,,,,,0.4,covert,overt,tLDA
125,PB02,01,cvsa,,,ica,,,,,0.2,covert,covert,tLDA
126,PB02,01,cvsa,,,ica,,,,,0.3,free,free,tLDA
127,PB02,01,cvsa,,,ica,,,,,0.6,free,overt,tLDA
128,PB02,01,cvsa,,,ica,,,,,0.2,free,covert,tLDA
129,PB02,01,cvsa,,,ica,,,,,0.5,overt,free,tLDA
130,PB02,01,cvsa,,,ica,,,,,0.7,overt,overt,tLDA
131,PB02,01,cvsa,,,ica,,,,,0.1,overt,covert,tLDA
132,PB02,01,cvsa,,,ica,,,,,0.4,covert,free,tLDA
133,PB02,01,cvsa,,,ica,,,,,0.1,covert,overt,tLDA
134,PB02,01,cvsa,,,ica,,,,,0.1,covert,covert,tLDA
135,PB02,01,cvsa,,,ica,,,,,0.6,free,free,tLDA
136,PB02,01,cvsa,,,ica,,,,,0.7,free,overt,tLDA
137,PB02,01,cvsa,,,ica,,,,,0.4,free,covert,tLDA
138,PB02,01,cvsa,,,ica,,,,,0.8,overt,free,tLDA
139,PB02,01,cvsa,,,ica,,,,,0.6,overt,overt,tLDA
140,PB02,01,cvsa,,,ica,,,,,0.4,overt,covert,tLDA
141,PB02,01,cvsa,,,ica,,,,,0.3,covert,free,tLDA
142,PB02,01,cvsa,,,ica,,,,,0.5,covert,overt,tLDA
143,PB02,01,cvsa,,,ica,,,,,0.3,covert,covert,tLDA
144,PB02,01,cvsa,,,ica,,,,,0.8,free,free,tLDA
145,PB02,01,cvsa,,,ica,,,,,0.5,free,overt,tLDA
146,PB02,01,cvsa,,,ica,,,,,0.5,free,covert,tLDA
147,PB02,01,cvsa,,,ica,,,,,0.8,overt,free,tLDA
148,PB02,01,cvsa,,,ica,,,,,0.7,overt,overt,tLDA
149,PB02,01,cvsa,,,ica,,,,,0.4,overt,covert,tLDA
150,PB02,01,cvsa,,,ica,,,,,0.4,covert,free,tLDA
151,PB02,01,cvsa,,,ica,,,,,0.5,covert,overt,tLDA
152,PB02,01,cvsa,,,ica,,,,,0.4,covert,covert,tLDA
153,PB02,01,cvsa,,,ica,,,,,0.5,free,free,tLDA
154,PB02,01,cvsa,,,ica,,,,,0.5,free,overt,tLDA
155,PB02,01,cvsa,,,ica,,,,,0.4,free,covert,tLDA
156,PB02,01,cvsa,,,ica,,,,,0.5,overt,free,tLDA
157,PB02,01,cvsa,,,ica,,,,,0.4,overt,overt,tLDA
158,PB02,01,cvsa,,,ica,,,,,0.4,overt,covert,tLDA
159,PB02,01,cvsa,,,ica,,,,,0.2,covert,free,tLDA
160,PB02,01,cvsa,,,ica,,,,,0.2,covert,overt,tLDA
161,PB02,01,cvsa,,,ica,,,,,0.2,covert,covert,tLDA
162,PB04,01,cvsa,,,ica,,,,,0.6,free,free,tLDA
163,PB04,01,cvsa,,,ica,,,,,1.0,free,overt,tLDA
164,PB04,01,cvsa,,,ica,,,,,0.2,free,covert,tLDA
165,PB04,01,cvsa,,,ica,,,,,0.7,overt,free,tLDA
166,PB04,01,cvsa,,,ica,,,,,0.8,overt,overt,tLDA
167,PB04,01,cvsa,,,ica,,,,,0.2,overt,covert,tLDA
168,PB04,01,cvsa,,,ica,,,,,0.1,covert,free,tLDA
169,PB04,01,cvsa,,,ica,,,,,0.1,covert,overt,tLDA
170,PB04,01,cvsa,,,ica,,,,,0.2,covert,covert,tLDA
171,PB04,01,cvsa,,,ica,,,,,0.6,free,free,tLDA
172,PB04,01,cvsa,,,ica,,,,,0.5,free,overt,tLDA
173,PB04,01,cvsa,,,ica,,,,,0.1,free,covert,tLDA
174,PB04,01,cvsa,,,ica,,,,,0.6,overt,free,tLDA
175,PB04,01,cvsa,,,ica,,,,,0.3,overt,overt,tLDA
